record,fs,seconds,detected_r_peaks,reference_annotations,tp,fp,fn,sensitivity,positive_predictive_value,f1,mean_abs_timing_error_samples,median_abs_timing_error_samples,timing_jitter_samples,mean_hr_bpm,signal_quality,rhythm_label,reasons
100,360.0,60.0,74,75,74.0,0.0,1.0,0.9866666666666667,1.0,0.9932885906040269,0.47297297297297297,0.0,0.5256391983453168,73.86518011898627,0.7808219177911057,Normal rhythm candidate,No rule-based warning
101,360.0,60.0,76,72,71.0,5.0,1.0,0.9861111111111112,0.9342105263157895,0.9594594594594595,0.38028169014084506,0.0,0.48545599829898833,75.64437803511393,0.8504672897069088,Low preliminary rhythm warning,Irregular RR intervals
102,360.0,60.0,73,74,73.0,0.0,1.0,0.9864864864864865,1.0,0.9931972789115647,12.479452054794521,16.0,13.130149491565492,72.56438969764838,0.8787878787772266,Low preliminary rhythm warning,Wide QRS warning
103,360.0,60.0,71,71,70.0,1.0,1.0,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.6428571428571429,1.0,0.4791574237499549,71.1428974732979,0.8857142857041631,Normal rhythm candidate,No rule-based warning
104,360.0,60.0,83,77,74.0,9.0,3.0,0.961038961038961,0.891566265060241,0.9249999999999999,24.64864864864865,36.0,19.427413553284527,82.81666432879787,0.9120879120798936,Low preliminary rhythm warning,Irregular RR intervals
105,360.0,60.0,83,84,83.0,0.0,1.0,0.9880952380952381,1.0,0.9940119760479043,0.4578313253012048,0.0,0.5865379009464138,82.84765424014219,0.9234632862880765,Moderate preliminary rhythm warning,Premature-beat suspicion; Wide QRS warning
106,360.0,60.0,83,70,68.0,15.0,2.0,0.9714285714285714,0.8192771084337349,0.8888888888888888,0.6470588235294118,0.0,3.1897869026674917,83.38197909801337,0.8628571428492542,Moderate preliminary rhythm warning,Irregular RR intervals; Wide QRS warning
107,360.0,60.0,71,72,71.0,0.0,1.0,0.9861111111111112,1.0,0.993006993006993,32.985915492957744,38.0,16.342847759260454,70.5223880597015,0.9469320066309866,Normal rhythm candidate,No rule-based warning
108,360.0,60.0,61,63,60.0,1.0,3.0,0.9523809523809523,0.9836065573770492,0.9677419354838709,0.8166666666666667,1.0,1.6695807857064,61.080214911867294,0.8840579710042427,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
109,360.0,60.0,91,92,91.0,0.0,1.0,0.9891304347826086,1.0,0.994535519125683,2.065934065934066,1.0,3.443893629735216,91.23333959076402,0.9473684210476454,Normal rhythm candidate,No rule-based warning
111,360.0,60.0,71,70,69.0,2.0,1.0,0.9857142857142858,0.971830985915493,0.9787234042553192,1.0579710144927537,1.0,0.5352517481918663,71.49612256478153,0.8911564625753342,Normal rhythm candidate,No rule-based warning
112,360.0,60.0,85,86,85.0,0.0,1.0,0.9883720930232558,1.0,0.9941520467836257,0.15294117647058825,0.0,0.3599307891947849,85.50021205409736,0.8688524590049985,Normal rhythm candidate,No rule-based warning
113,360.0,60.0,115,59,58.0,57.0,1.0,0.9830508474576272,0.5043478260869565,0.6666666666666667,0.5517241379310345,1.0,0.49731741730537776,115.24852569502949,0.942652329743698,High preliminary rhythm warning,Possible tachycardia; Irregular RR intervals; Premature-beat suspicion
114,360.0,60.0,74,55,55.0,19.0,0.0,1.0,0.7432432432432432,0.8527131782945736,6.9818181818181815,9.0,5.7232020165562965,73.2135394901797,0.8072289156470894,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
115,360.0,60.0,63,64,63.0,0.0,1.0,0.984375,1.0,0.9921259842519685,1.3015873015873016,1.0,0.4589470569778083,62.796586326549765,0.9096045197657897,Normal rhythm candidate,No rule-based warning
